Código Nacional;Grupo Econômico;media_ano;market_share;hhi_empresa
83;NEXTEL;26,7;0,0;0,0
83;OI;1465831,96;0,3566;1271,6355999999998
83;OUTROS;7872,15;0,0019;0,0361
83;TELECOM AMERICAS;891900,85;0,217;470,89
83;TELECOM ITALIA;1218789,2;0,2965;879,1225
83;TELEFONICA;524508,17;0,1276;162,8176
84;DATORA;648,0;0,0002;0,0004
84;NEXTEL;20,97;0,0;0,0
84;OI;1055238,55;0,3095;957,9024999999999
84;OUTROS;5972,83;0,0018;0,0324
84;TELECOM AMERICAS;849013,38;0,249;620,01
84;TELECOM ITALIA;1177197,97;0,3452;1191,6304
84;TELEFONICA;321705,65;0,0943;88,9249
85;DATORA;10693,34;0,0017;0,0289
85;NEXTEL;35,65;0,0;0,0
85;OI;2534587,1;0,4136;1710,6496000000002
85;OUTROS;19266,58;0,0031;0,09609999999999999
85;TELECOM AMERICAS;1654144,93;0,2699;728,4600999999999
85;TELECOM ITALIA;1272610,76;0,2077;431,39289999999994
85;TELEFONICA;636711,69;0,1039;107,95210000000002
86;DATORA;282,33;0,0001;0,0001
86;NEXTEL;20,39;0,0;0,0
86;OI;392179,4;0,178;316,84
86;OUTROS;7628,25;0,0035;0,12250000000000001
86;TELECOM AMERICAS;851546,14;0,3864;1493,0496
86;TELECOM ITALIA;554850,39;0,2518;634,0324000000002
86;TELEFONICA;397180,79;0,1802;324,7204
87;DATORA;338,51;0,0002;0,0004
87;NEXTEL;8,79;0,0;0,0
87;OI;393805,55;0,1904;362,52160000000003
87;OUTROS;2549,67;0,0012;0,014399999999999998
87;TELECOM AMERICAS;454260,76;0,2196;482,24159999999995
87;TELECOM ITALIA;746673,65;0,361;1303,21
87;TELEFONICA;470612,61;0,2275;517,5625
88;DATORA;45,17;0,0;0,0
88;NEXTEL;10,41;0,0;0,0
88;OI;423913,84;0,128;163,84
88;OUTROS;3148,57;0,001;0,01
88;TELECOM AMERICAS;976014,31;0,2947;868,4809000000001
88;TELECOM ITALIA;1380126,51;0,4167;1736,3889000000001
88;TELEFONICA;528962,46;0,1597;255,04090000000002
89;DATORA;24,17;0,0;0,0
89;NEXTEL;3,2;0,0;0,0
89;OI;132967,92;0,1421;201,9241
89;OUTROS;4437,89;0,0047;0,2209
89;TELECOM AMERICAS;371333,09;0,3968;1574,5023999999999
89;TELECOM ITALIA;171008,5;0,1827;333,7929
89;TELEFONICA;256102,26;0,2736;748,5696
91;DATORA;2008,42;0,0004;0,0016
91;NEXTEL;33,85;0,0;0,0
91;OI;975880,46;0,1931;372,8761
91;OUTROS;10582,09;0,0021;0,04409999999999999
91;TELECOM AMERICAS;1403351,43;0,2777;771,1729
91;TELECOM ITALIA;1322277,85;0,2617;684,8688999999999
91;TELEFONICA;1339048,13;0,265;702,2500000000001
92;DATORA;502,92;0,0001;0,0001
92;NEXTEL;38,51;0,0;0,0
92;OI;459860,17;0,1352;182,79039999999998
92;OUTROS;8100,66;0,0024;0,05759999999999999
92;TELECOM AMERICAS;1011585,57;0,2974;884,4676
92;TELECOM ITALIA;292069,61;0,0859;73,7881
92;TELEFONICA;1628875,14;0,4789;2293,4521
93;DATORA;89,17;0,0001;0,0001
93;NEXTEL;2,4;0,0;0,0
93;OI;119387,24;0,1082;117,0724
93;OUTROS;4515,26;0,0041;0,16810000000000003
93;TELECOM AMERICAS;164962,33;0,1495;223,5025
93;TELECOM ITALIA;57812,88;0,0524;27,457600000000003
93;TELEFONICA;756473,39;0,6857;4701,844899999999
94;DATORA;60,09;0,0;0,0
94;NEXTEL;3,4;0,0;0,0
94;OI;229032,03;0,1474;217,26760000000002
94;OUTROS;4481,88;0,0029;0,0841
94;TELECOM AMERICAS;278327,04;0,1792;321,1264
94;TELECOM ITALIA;144125,55;0,0928;86,1184
94;TELEFONICA;897503,28;0,5777;3337,3729
95;DATORA;78,33;0,0001;0,0001
95;NEXTEL;2,75;0,0;0,0
95;OI;33391,25;0,0593;35,164899999999996
95;OUTROS;4743,26;0,0084;0,7055999999999999
95;TELECOM AMERICAS;135452,47;0,2406;578,8836000000001
95;TELECOM ITALIA;77607,02;0,1379;190,16409999999996
95;TELEFONICA;311667,03;0,5536;3064,7295999999997
96;NEXTEL;8,07;0,0;0,0
96;OI;140272,66;0,1794;321,84360000000004
96;OUTROS;7033,42;0,009;0,8099999999999999
96;TELECOM AMERICAS;193831,8;0,2479;614,5441000000001
96;TELECOM ITALIA;118114,7;0,151;228,01
96;TELEFONICA;322779,36;0,4127;1703,2129000000002
97;DATORA;37,5;0,0001;0,0001
97;NEXTEL;1,25;0,0;0,0
97;OI;63179,32;0,103;106,08999999999999
97;OUTROS;4718,08;0,0077;0,5929
97;TELECOM AMERICAS;300974,28;0,4907;2407,8649
97;TELECOM ITALIA;59551,57;0,0971;94,28410000000002
97;TELEFONICA;184941,86;0,3015;909,0224999999999
98;DATORA;979,67;0,0003;0,0008999999999999999
98;NEXTEL;19,35;0,0;0,0
98;OI;1151421,7;0,3022;913,2484000000002
98;OUTROS;18343,66;0,0048;0,23039999999999997
98;TELECOM AMERICAS;1455213,06;0,382;1459,24
98;TELECOM ITALIA;525295,79;0,1379;190,16409999999996
98;TELEFONICA;658398,76;0,1728;298,5984
99;DATORA;24,17;0,0;0,0
99;NEXTEL;6,36;0,0;0,0
99;OI;443891,26;0,2068;427,66240000000005
99;OUTROS;4891,56;0,0023;0,0529
99;TELECOM AMERICAS;793247,22;0,3696;1366,0415999999998
99;TELECOM ITALIA;378327,02;0,1763;310,81690000000003
99;TELEFONICA;525949,54;0,245;600,25
